	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_41566_3.txt	41566	3	123.9878	138.65559	130.94934	133.82565	136.6438	127.09915	123.55662	129.29391	138.707	139.74421	135.89678	135.38264	138.45945	129.5746	121.83937	136.93962	139.32069	146.92619	136.87289	127.55625	147.14243	136.0846	131.17292	n/a	119.45286	n/a	125.38703
alpha_rarefaction_41566_4.txt	41566	4	124.76304	138.4664	130.75179	133.35654	136.87109	127.10347	126.73269	129.94181	139.04707	139.53618	135.6618	134.92022	138.49075	129.20641	123.19504	137.81332	139.44118	145.89848	136.55405	129.13144	143.02391	135.02033	132.73867	n/a	121.81576	n/a	123.6728
alpha_rarefaction_41566_5.txt	41566	5	125.86395	136.00248	130.65643	132.77324	137.1393	125.36705	124.5108	130.9094	140.06041	140.7234	136.97591	134.59065	137.77578	129.0858	122.30557	136.94004	138.71153	144.40327	135.73398	126.60415	144.98824	135.73543	132.37042	n/a	119.46159	n/a	124.64415
alpha_rarefaction_41566_6.txt	41566	6	123.97584	137.33342	132.19635	130.15993	136.04002	126.27684	125.49169	127.74194	139.03489	139.04744	135.51041	133.81281	138.10567	131.0321	122.2896	137.30291	135.34113	148.33515	135.60025	129.61471	146.67869	135.79091	132.95725	n/a	120.22419	n/a	123.15747
alpha_rarefaction_41566_7.txt	41566	7	124.07807	138.69964	129.79273	131.27777	134.83331	127.01426	124.44468	130.91453	140.65721	139.49881	135.15467	132.93425	139.40152	129.19345	122.98636	136.69362	138.661	147.47414	135.05826	127.43001	146.13786	136.42731	133.72678	n/a	118.94228	n/a	125.34644
alpha_rarefaction_41566_8.txt	41566	8	122.93206	140.06018	130.82774	132.85157	134.70057	126.6702	126.06047	129.63275	139.51382	138.51599	135.97831	138.46896	137.15289	130.36778	121.42492	137.68276	137.6757	147.12625	135.60938	128.49679	145.62443	137.32173	131.91573	n/a	121.76153	n/a	126.41228
alpha_rarefaction_41566_9.txt	41566	9	125.05562	139.01297	131.8863	131.7255	134.86907	125.74982	124.40515	131.68681	138.59217	135.2761	135.62065	135.27664	138.07992	130.30363	123.50792	134.97447	137.68505	149.15019	137.10976	129.41161	145.33378	135.583	133.9997	n/a	121.51195	n/a	124.46586
alpha_rarefaction_51955_0.txt	51955	0	130.86414	144.81584	138.31549	139.00496	142.92159	132.26291	131.12329	138.3605	145.8671	147.75374	143.34328	145.57503	147.13575	135.36947	128.21051	144.33518	144.73993	154.16608	143.77578	136.03559	151.37992	142.47551	139.74562	n/a	127.15968	n/a	131.5879
alpha_rarefaction_51955_1.txt	51955	1	130.05703	147.77761	137.60093	136.95356	143.31166	134.6647	134.9306	134.77422	145.28906	145.96878	143.7402	142.911	144.61628	135.74138	128.41723	143.77122	144.80145	152.48297	142.16777	135.22819	154.58328	142.53423	139.59201	n/a	127.57351	n/a	130.72125
alpha_rarefaction_51955_2.txt	51955	2	130.38101	145.57173	137.1105	140.98096	143.39511	133.31165	133.00137	136.90838	145.24928	148.02236	142.9753	144.49458	145.42055	133.94791	128.69513	144.33483	142.77753	153.92557	143.17638	135.92285	154.37723	144.1656	139.14053	n/a	128.16158	n/a	130.90523
alpha_rarefaction_51955_3.txt	51955	3	130.58121	145.56118	138.14744	139.9716	143.63428	132.33143	133.64755	134.30736	146.20784	145.55672	142.52454	144.69879	144.1025	135.60482	128.21484	144.25231	144.25605	154.04775	143.06623	134.89742	153.12656	143.14404	137.34307	n/a	126.76628	n/a	131.97682
alpha_rarefaction_51955_4.txt	51955	4	128.62143	145.62921	135.92188	137.75277	143.02603	131.63433	132.15315	134.86776	145.31498	149.05007	143.94673	142.77835	144.99596	136.51337	127.60955	142.90918	144.48609	154.88406	142.5768	134.16329	153.37203	143.18548	138.55412	n/a	125.86331	n/a	131.4056
alpha_rarefaction_51955_5.txt	51955	5	130.13043	145.23719	137.33192	140.28872	141.32123	134.65353	130.94946	134.65729	145.75322	146.34962	141.82186	142.23128	144.10234	134.71123	127.91634	145.00068	143.79757	154.163	142.00428	134.30496	155.84856	142.01463	138.72314	n/a	127.42558	n/a	131.93059
alpha_rarefaction_51955_6.txt	51955	6	130.60148	143.14593	138.36302	138.49083	142.75409	131.52656	132.6338	136.57692	145.03866	146.92137	140.93314	142.88063	146.62009	136.28082	128.02871	144.0018	144.82824	152.16266	142.81363	134.44568	153.19884	144.04998	140.35186	n/a	130.41218	n/a	131.40454
alpha_rarefaction_51955_7.txt	51955	7	129.94121	144.06137	138.53595	139.2032	142.63713	133.23893	132.77472	137.21718	146.19022	147.13184	142.14626	142.71349	145.05888	135.60642	128.14375	144.8673	144.54389	153.23593	142.43293	135.4138	151.40026	144.88829	139.31366	n/a	126.92335	n/a	130.9638
alpha_rarefaction_51955_8.txt	51955	8	129.87031	145.61583	138.11033	141.42873	145.0814	134.30663	131.0096	133.23164	145.56414	145.35371	142.86962	142.77703	144.63806	134.9063	127.95802	143.04597	145.0328	152.54115	143.11986	135.51495	151.82325	146.06599	139.30689	n/a	124.94179	n/a	131.89748
alpha_rarefaction_51955_9.txt	51955	9	130.50671	145.0694	138.21571	140.16819	143.34875	132.13843	132.04701	135.82318	146.03501	146.26845	142.79326	142.1176	145.29309	134.99026	127.8647	142.84756	145.08409	154.74166	143.57806	135.21938	150.52351	145.15019	139.25341	n/a	127.51508	n/a	132.41002
alpha_rarefaction_62344_0.txt	62344	0	133.84367	151.0695	n/a	144.78835	152.72506	137.86933	136.09783	143.25741	n/a	152.7447	149.20113	149.68983	150.78345	140.26434	n/a	149.49796	151.81037	159.22789	147.34767	138.52848	160.11932	148.97143	144.80343	n/a	131.41514	n/a	136.4775
alpha_rarefaction_62344_1.txt	62344	1	137.79065	151.31001	n/a	144.24404	148.75886	137.70913	138.17704	141.33178	n/a	154.88321	148.50782	148.55774	151.52183	140.4712	n/a	149.70688	149.83484	160.92247	147.43456	138.44404	159.7091	148.20916	144.97366	n/a	130.2115	n/a	137.35393
alpha_rarefaction_62344_2.txt	62344	2	134.60917	150.40166	n/a	147.17149	150.42094	139.66044	138.14457	142.35417	n/a	152.75347	147.79761	148.6257	150.77066	140.84721	n/a	149.2536	150.94569	160.16174	147.52278	139.97352	158.85574	148.09659	145.79092	n/a	132.12889	n/a	137.07009
alpha_rarefaction_62344_3.txt	62344	3	135.66023	150.8295	n/a	144.2813	148.81418	139.1403	137.90265	142.01628	n/a	152.10685	148.13924	149.30054	150.12161	140.24837	n/a	149.46605	149.36053	161.0875	147.2419	140.3151	159.93621	148.91455	144.9699	n/a	130.4239	n/a	137.12185
alpha_rarefaction_62344_4.txt	62344	4	135.29186	151.81228	n/a	143.27444	150.79855	138.68743	137.75145	141.35416	n/a	152.7582	147.44376	151.22193	151.34872	140.49977	n/a	149.49074	148.68174	160.73815	147.71786	138.74912	158.96537	149.63568	145.2596	n/a	132.13587	n/a	136.69737
alpha_rarefaction_62344_5.txt	62344	5	132.71502	152.26987	n/a	144.08881	149.78845	138.89698	136.57998	143.27219	n/a	154.17006	148.57801	151.03506	151.34794	140.07848	n/a	148.66528	151.20142	160.95183	147.4677	139.35706	159.21377	149.03199	144.29096	n/a	132.32244	n/a	137.5729
alpha_rarefaction_62344_6.txt	62344	6	135.62606	149.69651	n/a	144.5406	148.7434	138.93515	139.38556	142.68061	n/a	151.10093	149.33354	148.32655	152.08325	140.12274	n/a	148.78396	149.48337	160.11775	147.64579	138.24995	159.40441	147.46354	146.06403	n/a	131.93815	n/a	138.03494
alpha_rarefaction_62344_7.txt	62344	7	134.75344	150.38157	n/a	145.47732	150.5378	139.00531	136.88536	142.26295	n/a	151.87119	147.1917	150.9772	152.79307	140.21	n/a	149.90764	151.42187	159.80794	147.44764	139.20698	159.32426	146.37089	144.70584	n/a	130.78564	n/a	137.32193
alpha_rarefaction_62344_8.txt	62344	8	136.91156	151.26914	n/a	144.63312	150.27344	138.22336	141.80597	141.91854	n/a	153.44451	147.90406	148.10169	151.48076	140.15197	n/a	149.3495	150.44917	161.80222	147.25373	140.76438	159.65386	146.00257	144.10653	n/a	131.40174	n/a	136.63891
alpha_rarefaction_62344_9.txt	62344	9	135.35966	151.06451	n/a	143.71452	149.75034	138.66143	136.30872	140.58123	n/a	155.11109	147.44666	150.24032	150.95687	139.99041	n/a	150.21675	148.43869	160.33421	147.53397	139.26685	163.05929	150.48075	143.60268	n/a	130.00658	n/a	136.44773
alpha_rarefaction_72733_0.txt	72733	0	139.49301	156.80344	n/a	149.35195	154.708	142.35351	143.90136	145.35153	n/a	158.01849	151.72054	154.66631	156.25193	n/a	n/a	n/a	155.99595	165.1577	n/a	145.89425	167.73227	152.5389	150.8124	n/a	136.04987	n/a	141.4973
alpha_rarefaction_72733_1.txt	72733	1	140.45807	157.40825	n/a	149.52573	153.99946	144.02675	141.4809	146.90183	n/a	158.17131	152.46365	155.22523	155.9332	n/a	n/a	n/a	152.60997	166.66241	n/a	145.09536	164.20401	154.32927	152.9166	n/a	134.42272	n/a	140.89673
